id,created_at,version,source,app_name,review_text,rating
C001,2026-07-03T00:10:00+08:00,v2.4,App Store,Acme Copilot,点击导出按钮后完全没有生成文件,1
C002,2026-07-03T01:20:00+08:00,v2.4,App Store,Acme Copilot,导出按钮点下去一直卡在99%不动,1
C003,2026-07-03T02:30:00+08:00,v2.4,App Store,Acme Copilot,导出入口点击后没有任何反应,2
C004,2026-07-03T03:40:00+08:00,v2.4,App Store,Acme Copilot,导出按钮点击后文件迟迟不出现,2
C005,2026-07-03T04:50:00+08:00,v2.4,App Store,Acme Copilot,导出按钮提示失败让我重试,1
C006,2026-07-03T06:00:00+08:00,v2.4,App Store,Acme Copilot,按下导出按钮后一直转圈文件没出来,1
C007,2026-07-03T07:10:00+08:00,v2.4,App Store,Acme Copilot,模型回答的上下文只展示到一半后续内容被截断,2
C008,2026-07-03T08:20:00+08:00,v2.4,App Store,Acme Copilot,长模型回答的上下文被截断只剩开头,2
C009,2026-07-03T09:30:00+08:00,v2.4,App Store,Acme Copilot,模型输出的上下文到中途就断了后面没有显示,2
C010,2026-07-03T10:40:00+08:00,v2.4,App Store,Acme Copilot,模型回答太长时上下文后半段会被截掉,2
C011,2026-07-03T11:50:00+08:00,v2.4,App Store,Acme Copilot,账号登录失败验证码还是收不到,1
C012,2026-07-03T13:00:00+08:00,v2.4,App Store,Acme Copilot,重新登录仍然无法进入工作区,2
C013,2026-07-03T14:10:00+08:00,v2.4,App Store,Acme Copilot,登录入口又提示账号验证失败,2
C014,2026-07-03T15:20:00+08:00,v2.4,App Store,Acme Copilot,账号登录不上移动端应用,2
C015,2026-07-03T16:30:00+08:00,v2.4,App Store,Acme Copilot,回答引用了错误的文档内容不准确,2
C016,2026-07-03T17:40:00+08:00,v2.4,App Store,Acme Copilot,引用段落与答案对不上回答错了,2
C017,2026-07-03T18:50:00+08:00,v2.4,App Store,Acme Copilot,最近更新后感觉越来越不好用,3
C018,2026-07-03T19:10:00+08:00,v2.4,App Store,Acme Copilot,整体变得不太好用但说不清具体哪里,3
C019,2026-07-03T20:20:00+08:00,v2.4,App Store,Acme Copilot,导出按钮显示成功但下载文件的列顺序完全乱了,2
C020,2026-07-03T21:30:00+08:00,v2.4,App Store,Acme Copilot,导出按钮完成后表格格式错乱文字挤在一起,2
C021,2026-07-03T21:45:00+08:00,v2.4,App Store,Acme Copilot,这版处理日常事务很高效,5
C022,2026-07-03T22:00:00+08:00,v2.4,App Store,Acme Copilot,整理会议纪要比以前省时,5
C023,2026-07-03T22:15:00+08:00,v2.4,App Store,Acme Copilot,回答思路依然很清晰,5
C024,2026-07-03T22:30:00+08:00,v2.4,App Store,Acme Copilot,上传文档速度不错,4
C025,2026-07-03T22:45:00+08:00,v2.4,App Store,Acme Copilot,团队协作体验满意,5
C026,2026-07-03T23:00:00+08:00,v2.4,App Store,Acme Copilot,界面看起来很清爽,5
C027,2026-07-03T23:15:00+08:00,v2.4,App Store,Acme Copilot,搜索结果很有帮助,4
C028,2026-07-03T23:30:00+08:00,v2.4,App Store,Acme Copilot,提醒功能运行正常,4
C029,2026-07-03T23:45:00+08:00,v2.4,App Store,Acme Copilot,新版本整体值得推荐,5
C030,2026-07-04T00:00:00+08:00,v2.4,App Store,Acme Copilot,目前使用下来基本稳定,4
