id,source,app_name,review_text,rating,expected_issue_category,expected_priority,expected_human_review
ev001,human_eval,DemoApp,回答经常答非所问，还会编造不存在的资料。,2,模型能力问题,P1,false
ev002,human_eval,DemoApp,翻译结果不准确，专业名词总是理解错。,3,模型能力问题,P1,false
ev003,human_eval,DemoApp,复制按钮找不到，操作流程很绕。,3,交互体验问题,P1,false
ev004,human_eval,DemoApp,夜间模式入口太深，很不好用。,4,交互体验问题,P2,false
ev005,human_eval,DemoApp,打开后经常崩溃，刚写的内容也丢失了。,1,性能与稳定性问题,P0,true
ev006,human_eval,DemoApp,加载很慢而且一直卡住，严重影响使用。,2,性能与稳定性问题,P1,false
ev007,human_eval,DemoApp,会员自动扣费，而且申请退款一直失败。,1,会员与商业化问题,P0,true
ev008,human_eval,DemoApp,会员价格太贵，权益和套餐说明不清楚。,2,会员与商业化问题,P1,false
ev009,human_eval,DemoApp,生成了暴力和仇恨内容，内容安全需要加强。,1,内容安全与合规问题,P1,true
ev010,human_eval,DemoApp,未成年内容审核失效，仍然出现敏感信息。,2,内容安全与合规问题,P1,true
ev011,human_eval,DemoApp,聊天记录和客户资料全部丢失。,1,账号、隐私与数据问题,P0,true
ev012,human_eval,DemoApp,登录后同步失败，换设备找不到聊天记录。,2,账号、隐私与数据问题,P1,true
ev013,human_eval,DemoApp,希望支持企业办公场景和团队协作。,4,用户预期与产品定位问题,P2,false
ev014,human_eval,DemoApp,产品能力边界不清楚，不知道适合什么场景。,3,用户预期与产品定位问题,P2,false
ev015,human_eval,DemoApp,一般般。,3,不明确/其他,P2,true
ev016,human_eval,DemoApp,颜色看起来有点奇怪。,4,不明确/其他,P2,true
ev017,human_eval,DemoApp,从来没有崩溃，运行一直很稳定。,5,不明确/其他,P2,true
ev018,human_eval,DemoApp,退款很快就到账了，处理很顺利。,5,会员与商业化问题,P2,false
ev019,human_eval,DemoApp,页面不卡，加载也不慢，整体速度正常。,5,不明确/其他,P2,true
ev020,human_eval,DemoApp,没有扣费，也没有发生支付失败。,5,不明确/其他,P2,true
ev021,human_eval,DemoApp,账号被盗后无法登录，担心隐私泄露。,1,账号、隐私与数据问题,P0,true
ev022,human_eval,DemoApp,支付失败还被重复扣费，我要投诉。,1,会员与商业化问题,P0,true
ev023,human_eval,DemoApp,回答不准确而且页面经常卡住。,2,模型能力问题,P1,true
ev024,human_eval,DemoApp,建议增加保存按钮和更清楚的提示。,4,交互体验问题,P2,false
