record_key,id,source,app_name,review_text,rating,issue_category,rule_issue_category,priority,confidence,rule_confidence,matched_categories,matched_keywords,summary,user_need,product_suggestion,needs_human_review,human_review_reasons,classification_source,llm_rule_disagreement,llm_error
fb001::1,fb001,app_store,ChatMate,回答经常答非所问，还会编造不存在的资料，做工作总结很不放心。,2,模型能力问题,模型能力问题,P1,0.95,0.95,模型能力问题,"模型能力问题:答非所问,编造,总结",回答经常答非所问，还会编造不存在的资料，做工作总结很不放心。,获得准确、稳定、符合上下文的 AI 输出。,沉淀高频失败样本，补充评测集，并在输出前增加事实性和上下文一致性检查。,False,,rules,False,
fb002::2,fb002,xiaohongshu,ChatMate,界面入口太深，我找不到历史记录导出按钮，操作流程不清楚。,3,交互体验问题,交互体验问题,P1,0.95,0.95,交互体验问题,"交互体验问题:按钮,入口,界面,操作,找不到,流程",界面入口太深，我找不到历史记录导出按钮，操作流程不清楚。,更低成本地完成核心操作，减少查找和理解成本。,梳理用户完成任务的关键路径，优化入口、按钮文案和空状态提示。,False,,rules,False,
fb003::3,fb003,app_store,ChatMate,最近打开很慢，生成一半就闪退，昨天的草稿也丢了。,1,性能与稳定性问题,性能与稳定性问题,P0,0.83,0.83,性能与稳定性问题,"性能与稳定性问题:慢,闪退",最近打开很慢，生成一半就闪退，昨天的草稿也丢了。,在关键任务中获得快速、连续、可靠的使用体验。,优先复现异常链路，补充客户端日志、超时提示和失败后的恢复机制。,True,P0 样本,rules,False,
fb004::4,fb004,app_store,ChatMate,已经开了会员还是提示要付费，担心被重复扣费，想退款。,1,会员与商业化问题,会员与商业化问题,P0,0.95,0.95,会员与商业化问题,"会员与商业化问题:会员,付费,扣费,退款",已经开了会员还是提示要付费，担心被重复扣费，想退款。,清楚理解付费权益、价格、扣费和退款规则。,核对权益判断和扣费链路，在付费前后提供清晰提醒、凭证和退款入口。,True,P0 样本,rules,False,
fb005::5,fb005,community,ChatMate,有人用它生成辱骂内容和敏感图片，希望加强审核。,2,内容安全与合规问题,内容安全与合规问题,P1,0.83,0.83,内容安全与合规问题；用户预期与产品定位问题,"内容安全与合规问题:辱骂,敏感,审核；用户预期与产品定位问题:希望",有人用它生成辱骂内容和敏感图片，希望加强审核。,避免不安全或不合规内容带来的产品和用户风险。,将样本加入安全评测集，强化生成前后的风险识别、拦截和申诉说明。,True,同时命中多个问题类型；内容安全与合规样本,rules,False,
fb006::6,fb006,support_ticket,ChatMate,更换手机后登录不上，聊天记录同步失败，里面有客户资料。,1,账号、隐私与数据问题,账号、隐私与数据问题,P1,0.95,0.95,性能与稳定性问题；账号、隐私与数据问题,"性能与稳定性问题:失败；账号、隐私与数据问题:登录,聊天记录,同步,客户资料",更换手机后登录不上，聊天记录同步失败，里面有客户资料。,保护账号、隐私、历史内容和跨设备数据连续性。,检查登录、同步和权限链路，明确数据保存策略，并提供可追踪的恢复流程。,True,同时命中多个问题类型,rules,False,
fb007::7,fb007,user_interview,ChatMate,我以为它可以直接做完整PPT，但实际更像聊天助手，期望边界不清楚。,3,用户预期与产品定位问题,用户预期与产品定位问题,P2,0.83,0.83,用户预期与产品定位问题,"用户预期与产品定位问题:以为,边界",我以为它可以直接做完整PPT，但实际更像聊天助手，期望边界不清楚。,确认产品适用场景、能力边界和可交付结果。,在新手引导、模板和结果页说明能力边界，减少用户对交付形态的误解。,False,,rules,False,
fb008::8,fb008,app_store,ChatMate,挺好用，建议增加夜间模式。,5,交互体验问题,交互体验问题,P2,0.69,0.69,交互体验问题,交互体验问题:夜间模式,挺好用，建议增加夜间模式。,更低成本地完成核心操作，减少查找和理解成本。,围绕夜间模式补充显示设置能力，验证暗色主题、亮度对比度和低光环境阅读体验，并明确入口与切换策略。,False,,rules,False,
fb009::9,fb009,app_store,ChatMate,差,1,不明确/其他,不明确/其他,P1,0.25,0.25,,,差,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,文本过短；分类低置信度,rules,False,
fb010::10,fb010,app_store,ChatMate,生成答案不准确，而且页面经常卡住，复制按钮也失灵。,2,交互体验问题,交互体验问题,P1,0.69,0.69,模型能力问题；交互体验问题；性能与稳定性问题,"模型能力问题:不准确；交互体验问题:按钮,复制；性能与稳定性问题:卡住",生成答案不准确，而且页面经常卡住，复制按钮也失灵。,更低成本地完成核心操作，减少查找和理解成本。,该反馈同时包含模型质量、性能稳定性和复制交互问题，建议先进入人工复核，拆分为答案准确性、页面卡顿复现、复制按钮链路三个问题分别定位。,True,同时命中多个问题类型,rules,False,
fb011::11,fb011,community,ChatMate,希望支持团队知识库和审批流，适合企业办公场景。,4,用户预期与产品定位问题,用户预期与产品定位问题,P2,0.95,0.95,用户预期与产品定位问题,"用户预期与产品定位问题:希望,适合,场景,办公",希望支持团队知识库和审批流，适合企业办公场景。,确认产品适用场景、能力边界和可交付结果。,围绕企业办公场景验证团队知识库、审批流和协作权限需求，明确功能边界、数据接入范围和试点场景。,False,,rules,False,
fb012::12,fb012,app_store,ChatMate,自动扣费后没有明显提醒，我准备投诉并卸载。,1,会员与商业化问题,会员与商业化问题,P0,0.69,0.69,会员与商业化问题,会员与商业化问题:扣费,自动扣费后没有明显提醒，我准备投诉并卸载。,清楚理解付费权益、价格、扣费和退款规则。,核对权益判断和扣费链路，在付费前后提供清晰提醒、凭证和退款入口。,True,P0 样本,rules,False,
