record_key,id,source,app_name,review_text,rating,issue_category,rule_issue_category,priority,confidence,rule_confidence,matched_categories,matched_keywords,summary,user_need,product_suggestion,needs_human_review,human_review_reasons,classification_source,llm_rule_disagreement,llm_error
B001::1,B001,App Store,Acme Copilot,点击导出按钮后没有生成文件,2,交互体验问题,交互体验问题,P1,0.69,0.69,交互体验问题,交互体验问题:按钮,点击导出按钮后没有生成文件,更低成本地完成核心操作，减少查找和理解成本。,梳理用户完成任务的关键路径，优化入口、按钮文案和空状态提示。,False,,rules,False,
B002::2,B002,App Store,Acme Copilot,导出按钮显示成功但下载文件的列顺序完全乱了,2,交互体验问题,交互体验问题,P1,0.69,0.69,交互体验问题,交互体验问题:按钮,导出按钮显示成功但下载文件的列顺序完全乱了,更低成本地完成核心操作，减少查找和理解成本。,梳理用户完成任务的关键路径，优化入口、按钮文案和空状态提示。,False,,rules,False,
B003::3,B003,App Store,Acme Copilot,导出按钮完成后表格格式错乱文字挤在一起,2,交互体验问题,交互体验问题,P1,0.69,0.69,交互体验问题,交互体验问题:按钮,导出按钮完成后表格格式错乱文字挤在一起,更低成本地完成核心操作，减少查找和理解成本。,梳理用户完成任务的关键路径，优化入口、按钮文案和空状态提示。,False,,rules,False,
B004::4,B004,App Store,Acme Copilot,账号登录失败验证码一直收不到,1,账号、隐私与数据问题,账号、隐私与数据问题,P1,0.69,0.69,性能与稳定性问题；账号、隐私与数据问题,"性能与稳定性问题:失败；账号、隐私与数据问题:登录,账号",账号登录失败验证码一直收不到,保护账号、隐私、历史内容和跨设备数据连续性。,检查登录、同步和权限链路，明确数据保存策略，并提供可追踪的恢复流程。,True,同时命中多个问题类型,rules,False,
B005::5,B005,App Store,Acme Copilot,重新登录时始终进不去工作区,2,账号、隐私与数据问题,账号、隐私与数据问题,P1,0.69,0.69,账号、隐私与数据问题,账号、隐私与数据问题:登录,重新登录时始终进不去工作区,保护账号、隐私、历史内容和跨设备数据连续性。,检查登录、同步和权限链路，明确数据保存策略，并提供可追踪的恢复流程。,False,,rules,False,
B006::6,B006,App Store,Acme Copilot,登录入口提示账号验证失败,2,账号、隐私与数据问题,账号、隐私与数据问题,P1,0.69,0.69,交互体验问题；性能与稳定性问题；账号、隐私与数据问题,"交互体验问题:入口；性能与稳定性问题:失败；账号、隐私与数据问题:登录,账号",登录入口提示账号验证失败,保护账号、隐私、历史内容和跨设备数据连续性。,检查登录、同步和权限链路，明确数据保存策略，并提供可追踪的恢复流程。,True,同时命中多个问题类型,rules,False,
B007::7,B007,App Store,Acme Copilot,账号无法登录移动端,2,账号、隐私与数据问题,账号、隐私与数据问题,P1,0.83,0.83,账号、隐私与数据问题,"账号、隐私与数据问题:登录,账号",账号无法登录移动端,保护账号、隐私、历史内容和跨设备数据连续性。,检查登录、同步和权限链路，明确数据保存策略，并提供可追踪的恢复流程。,False,,rules,False,
B008::8,B008,App Store,Acme Copilot,回答引用了不存在的条目内容不准确,2,模型能力问题,模型能力问题,P1,0.69,0.69,模型能力问题,模型能力问题:不准确,回答引用了不存在的条目内容不准确,获得准确、稳定、符合上下文的 AI 输出。,沉淀高频失败样本，补充评测集，并在输出前增加事实性和上下文一致性检查。,False,,rules,False,
B009::9,B009,App Store,Acme Copilot,引用的文档段落对不上回答错了,2,模型能力问题,模型能力问题,P1,0.83,0.83,模型能力问题,"模型能力问题:回答错,错了",引用的文档段落对不上回答错了,获得准确、稳定、符合上下文的 AI 输出。,沉淀高频失败样本，补充评测集，并在输出前增加事实性和上下文一致性检查。,False,,rules,False,
B010::10,B010,App Store,Acme Copilot,答案里的来源链接和引用内容不一致回答不准,2,不明确/其他,不明确/其他,P1,0.25,0.25,,,答案里的来源链接和引用内容不一致回答不准,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B011::11,B011,App Store,Acme Copilot,引用资料被张冠李戴答错了,2,模型能力问题,模型能力问题,P1,0.69,0.69,模型能力问题,模型能力问题:错了,引用资料被张冠李戴答错了,获得准确、稳定、符合上下文的 AI 输出。,沉淀高频失败样本，补充评测集，并在输出前增加事实性和上下文一致性检查。,False,,rules,False,
B012::12,B012,App Store,Acme Copilot,回答把文档引用编错了,2,模型能力问题,模型能力问题,P1,0.69,0.69,模型能力问题,模型能力问题:错了,回答把文档引用编错了,获得准确、稳定、符合上下文的 AI 输出。,沉淀高频失败样本，补充评测集，并在输出前增加事实性和上下文一致性检查。,False,,rules,False,
B013::13,B013,App Store,Acme Copilot,引用页码对不上给出的结论错了,2,模型能力问题,模型能力问题,P1,0.69,0.69,模型能力问题,模型能力问题:错了,引用页码对不上给出的结论错了,获得准确、稳定、符合上下文的 AI 输出。,沉淀高频失败样本，补充评测集，并在输出前增加事实性和上下文一致性检查。,False,,rules,False,
B014::14,B014,App Store,Acme Copilot,来源引用不准确给出的结论错误,2,模型能力问题,模型能力问题,P1,0.69,0.69,模型能力问题,模型能力问题:不准确,来源引用不准确给出的结论错误,获得准确、稳定、符合上下文的 AI 输出。,沉淀高频失败样本，补充评测集，并在输出前增加事实性和上下文一致性检查。,False,,rules,False,
B015::15,B015,App Store,Acme Copilot,这款工具整体很好用,5,正向反馈/无明确问题,正向反馈/无明确问题,P2,0.83,0.83,正向反馈/无明确问题,"正向反馈/无明确问题:好用,很好",这款工具整体很好用,继续稳定获得当前产品价值，无需进入问题修复流程。,记录正向体验信号并用于趋势观察；当前样本不创建问题修复项。,False,,rules,False,
