record_key,id,decision,original_issue_category,original_priority,final_issue_category,final_priority,human_review_reasons,reviewer_note,reviewed_at
DB_001::1,DB_001,pending,用户预期与产品定位问题,P0,,,同时命中多个问题类型；P0 样本,,
DB_002::2,DB_002,pending,交互体验问题,P1,,,同时命中多个问题类型,,
DB_003::3,DB_003,pending,不明确/其他,P1,,,分类低置信度,,
DB_005::5,DB_005,pending,不明确/其他,P2,,,分类低置信度,,
DB_006::6,DB_006,pending,不明确/其他,P1,,,分类低置信度,,
DB_007::7,DB_007,pending,不明确/其他,P1,,,分类低置信度,,
DB_008::8,DB_008,pending,交互体验问题,P2,,,分类低置信度；同时命中多个问题类型,,
DB_009::9,DB_009,pending,不明确/其他,P1,,,分类低置信度,,
DB_010::10,DB_010,pending,不明确/其他,P2,,,分类低置信度,,
DS_002::12,DS_002,pending,账号、隐私与数据问题,P1,,,分类低置信度；同时命中多个问题类型,,
DS_003::13,DS_003,pending,不明确/其他,P1,,,分类低置信度,,
DS_004::14,DS_004,pending,内容安全与合规问题,P2,,,内容安全与合规样本,,
DS_005::15,DS_005,pending,账号、隐私与数据问题,P2,,,分类低置信度；同时命中多个问题类型,,
DS_006::16,DS_006,pending,不明确/其他,P1,,,分类低置信度,,
DS_007::17,DS_007,pending,不明确/其他,P1,,,分类低置信度,,
KIMI_001::21,KIMI_001,pending,不明确/其他,P1,,,分类低置信度,,
KIMI_003::23,KIMI_003,pending,不明确/其他,P1,,,分类低置信度,,
KIMI_004::24,KIMI_004,pending,模型能力问题,P1,,,分类低置信度；同时命中多个问题类型,,
KIMI_006::26,KIMI_006,pending,不明确/其他,P1,,,分类低置信度,,
KIMI_007::27,KIMI_007,pending,性能与稳定性问题,P1,,,文本过短,,
KIMI_008::28,KIMI_008,pending,不明确/其他,P2,,,分类低置信度,,
KIMI_010::30,KIMI_010,pending,性能与稳定性问题,P0,,,P0 样本,,
