id,created_at,version,source,app_name,review_text,rating
F001,2026-07-05T00:10:00+08:00,v2.4,App Store,Acme Copilot,导出按钮偶尔仍然没有生成文件,2
F002,2026-07-05T01:20:00+08:00,v2.4,App Store,Acme Copilot,导出按钮卡住后最终没有拿到下载文件,2
F003,2026-07-05T02:30:00+08:00,v2.4,App Store,Acme Copilot,模型回答的上下文依旧只显示到一半被截断,2
F004,2026-07-05T03:40:00+08:00,v2.4,App Store,Acme Copilot,长回答的上下文后半段还是没有展示,2
F005,2026-07-05T04:50:00+08:00,v2.4,App Store,Acme Copilot,回答输出的上下文仍会在中途断掉,2
F006,2026-07-05T06:00:00+08:00,v2.4,App Store,Acme Copilot,模型答案太长时上下文尾部继续被截掉,2
F007,2026-07-05T07:10:00+08:00,v2.4,App Store,Acme Copilot,账号登录失败的情况比之前更多了,1
F008,2026-07-05T08:20:00+08:00,v2.4,App Store,Acme Copilot,今天重新登录多次都进不去,1
F009,2026-07-05T09:30:00+08:00,v2.4,App Store,Acme Copilot,登录入口连续提示账号验证失败,1
F010,2026-07-05T10:40:00+08:00,v2.4,App Store,Acme Copilot,账号无法登录工作区的问题又出现了,1
F011,2026-07-05T11:50:00+08:00,v2.4,App Store,Acme Copilot,移动端账号登录不上并且验证码失效,1
F012,2026-07-05T13:00:00+08:00,v2.4,App Store,Acme Copilot,登录失败后一直回到登录页,1
F013,2026-07-05T14:10:00+08:00,v2.4,App Store,Acme Copilot,引用的来源段落仍然对不上答案内容不准确,2
F014,2026-07-05T15:20:00+08:00,v2.4,App Store,Acme Copilot,整理资料的流程依旧很顺手,5
F015,2026-07-05T16:30:00+08:00,v2.4,App Store,Acme Copilot,最近用起来还是不太好用但难以描述,3
F016,2026-07-05T17:40:00+08:00,v2.4,App Store,Acme Copilot,整体感觉变得不好用具体问题说不上来,3
F017,2026-07-05T18:50:00+08:00,v2.4,App Store,Acme Copilot,导出按钮显示成功但下载表格列顺序还是混乱,2
F018,2026-07-05T19:10:00+08:00,v2.4,App Store,Acme Copilot,导出完成后的文件格式仍然错乱,2
F019,2026-07-05T20:20:00+08:00,v2.4,App Store,Acme Copilot,这次使用总体很省心,5
F020,2026-07-05T21:30:00+08:00,v2.4,App Store,Acme Copilot,整理资料的结果令人满意,5
F021,2026-07-05T21:45:00+08:00,v2.4,App Store,Acme Copilot,日常问答速度可以接受,4
F022,2026-07-05T22:00:00+08:00,v2.4,App Store,Acme Copilot,编辑内容很方便,5
F023,2026-07-05T22:15:00+08:00,v2.4,App Store,Acme Copilot,搜索功能继续保持稳定,4
F024,2026-07-05T22:30:00+08:00,v2.4,App Store,Acme Copilot,提醒没有再出问题,4
F025,2026-07-05T22:45:00+08:00,v2.4,App Store,Acme Copilot,团队觉得这版挺实用,5
F026,2026-07-05T23:00:00+08:00,v2.4,App Store,Acme Copilot,对话整理效率不错,5
F027,2026-07-05T23:15:00+08:00,v2.4,App Store,Acme Copilot,文档检索结果清楚,4
F028,2026-07-05T23:30:00+08:00,v2.4,App Store,Acme Copilot,新版本功能很完整,5
F029,2026-07-05T23:45:00+08:00,v2.4,App Store,Acme Copilot,目前没有遇到其他问题,4
F030,2026-07-06T00:00:00+08:00,v2.4,App Store,Acme Copilot,整体体验仍然值得推荐,5
