id,created_at,version,source,app_name,review_text,rating
B001,2026-07-01T00:10:00+08:00,v2.3,App Store,Acme Copilot,点击导出按钮后没有生成文件,2
B002,2026-07-01T01:20:00+08:00,v2.3,App Store,Acme Copilot,导出按钮显示成功但下载文件的列顺序完全乱了,2
B003,2026-07-01T02:30:00+08:00,v2.3,App Store,Acme Copilot,导出按钮完成后表格格式错乱文字挤在一起,2
B004,2026-07-01T03:40:00+08:00,v2.3,App Store,Acme Copilot,账号登录失败验证码一直收不到,1
B005,2026-07-01T04:50:00+08:00,v2.3,App Store,Acme Copilot,重新登录时始终进不去工作区,2
B006,2026-07-01T06:00:00+08:00,v2.3,App Store,Acme Copilot,登录入口提示账号验证失败,2
B007,2026-07-01T07:10:00+08:00,v2.3,App Store,Acme Copilot,账号无法登录移动端,2
B008,2026-07-01T08:20:00+08:00,v2.3,App Store,Acme Copilot,回答引用了不存在的条目内容不准确,2
B009,2026-07-01T09:30:00+08:00,v2.3,App Store,Acme Copilot,引用的文档段落对不上回答错了,2
B010,2026-07-01T10:40:00+08:00,v2.3,App Store,Acme Copilot,答案里的来源链接和引用内容不一致回答不准,2
B011,2026-07-01T11:50:00+08:00,v2.3,App Store,Acme Copilot,引用资料被张冠李戴答错了,2
B012,2026-07-01T13:00:00+08:00,v2.3,App Store,Acme Copilot,回答把文档引用编错了,2
B013,2026-07-01T14:10:00+08:00,v2.3,App Store,Acme Copilot,引用页码对不上给出的结论错了,2
B014,2026-07-01T15:20:00+08:00,v2.3,App Store,Acme Copilot,来源引用不准确给出的结论错误,2
B015,2026-07-01T16:30:00+08:00,v2.3,App Store,Acme Copilot,这款工具整体很好用,5
B016,2026-07-01T17:40:00+08:00,v2.3,App Store,Acme Copilot,日常整理资料很顺手,5
B017,2026-07-01T18:50:00+08:00,v2.3,App Store,Acme Copilot,响应速度令人满意,5
B018,2026-07-01T19:10:00+08:00,v2.3,App Store,Acme Copilot,写作辅助效果不错,5
B019,2026-07-01T20:20:00+08:00,v2.3,App Store,Acme Copilot,生成摘要很有帮助,5
B020,2026-07-01T21:30:00+08:00,v2.3,App Store,Acme Copilot,整体体验值得推荐,5
B021,2026-07-01T21:45:00+08:00,v2.3,App Store,Acme Copilot,搜索知识库很方便,4
B022,2026-07-01T22:00:00+08:00,v2.3,App Store,Acme Copilot,回答思路清楚而且稳定,5
B023,2026-07-01T22:15:00+08:00,v2.3,App Store,Acme Copilot,团队成员都觉得产品实用,5
B024,2026-07-01T22:30:00+08:00,v2.3,App Store,Acme Copilot,导入资料的体验很顺畅,4
B025,2026-07-01T22:45:00+08:00,v2.3,App Store,Acme Copilot,客服响应及时问题解决了,4
B026,2026-07-01T23:00:00+08:00,v2.3,App Store,Acme Copilot,界面简洁容易上手,5
B027,2026-07-01T23:15:00+08:00,v2.3,App Store,Acme Copilot,通知提醒很清楚,4
B028,2026-07-01T23:30:00+08:00,v2.3,App Store,Acme Copilot,多端同步使用方便,5
B029,2026-07-01T23:45:00+08:00,v2.3,App Store,Acme Copilot,这次更新前整体表现稳定,4
B030,2026-07-02T00:00:00+08:00,v2.3,App Store,Acme Copilot,继续保持现在的体验就很好,4
